ID,StationNumber,RowNumber,ProcessName,CriticalStatus,Distance,ProjectID,CensorDistance,FlightBar
815,35,2,Semi Bright Nickel,,28750,6,,1
816,34,2,Water Rinse - 2,,29900,6,,0
817,33,2,Water Rinse - 1,,31050,6,,0
818,32,2,Acid Dip,,32200,6,,0
819,31,2,Water Rinse,,33350,6,,0
820,30,2,Cross Trolley,,34500,6,,0
821,30,1,Cross Trolley,,34500,6,,0
822,29,1,Water Rinse ,,33350,6,,0
823,28,1,Dragout,,32200,6,,0
824,27,1,Copper Plating - 2,,31050,6,,0
825,26,1,Copper Plating - 1,,29900,6,,0
826,25,1,Water Rinse - 3,,28750,6,,0
827,24,1,Water Rinse - 2,,27600,6,,0
828,23,1,Water Rinse - 1,,26450,6,,0
829,22,1,ElectrolessNickel,,25300,6,,0
830,21,1,Water Rinse - 3,,24150,6,,0
831,20,1,Water Rinse - 2,,23000,6,,0
832,19,1,Water Rinse - 1,,21850,6,,0
833,18,1,Accelerator,,20700,6,,0
834,17,1,Water Rinse - 3,,19550,6,,1
835,16,1,Water Rinse - 2,,18400,6,,1
836,15,1,Water Rinse - 1,,17250,6,,0
837,14,1,Activation,,16100,6,,0
838,13,1,Pre Activation,,14950,6,,0
839,12,1,Water Rinse - 2,,13800,6,,0
840,11,1,Water Rinse - 1,,12650,6,,1
841,10,1,Neutraliser,,11500,6,,1
842,9,1,Water Rinse - 3,,10350,6,,1
843,8,1,Water Rinse - 2,,9200,6,,0
844,7,1,Water Rinse - 1,,8050,6,,0
845,6,1,Dragout-2,,6900,6,,0
846,5,1,Dragout-1,,5750,6,,1
847,4,1,Spare,,4600,6,,0
848,3,1,Etching,,3450,6,,0
849,2,1,Water Rinse,,2300,6,,1
850,1,1,Loading,,1150,6,,0
10,9,1,Rinse-2,,5705,2,1767046911,0
11,10,1,Rinse-3,,6255,2,1767046911,0
15,12,2,Phosphating-1,,6287,2,1750138623,0
16,13,2,Phosphating-2,,5582,2,1750138623,0
17,14,2,Rinse-1,,4822,2,1767046911,0
18,15,2,Rinse-2,,3966,2,1767046911,0
22,,,Dryer-1,,,2,1917124351,0
21,18,2,Dryer-1,,1645,2,1917124351,0
20,17,2,Hot Water,,2501,2,1867054847,0
2,2,1,Cross Trolley-1,,350,2,1917058815,0
8,7,1,Pickling,,4555,2,1766915839,0
12,11,1,Cross Trolley-2,,6805,2,1917058815,0
14,11,2,Cross Trolley-2,,6805,2,1917058815,0
19,16,2,Passivation,,3261,2,1632698111,0
