ProjectID,ProgramNo,InstructionSrNo,Instruction,InstructionValue,WagonNumber,ProgramName
"Swastid",1,2,"Put On",38,"Wagon 4",
"Swastid",1,3,"Get From",25,"Wagon 4",
"Swastid",1,4,"Put On",30,"Wagon 4",
"Swastid",1,5,"Get From",24,"Wagon 4",
"Swastid",1,6,"Put On",25,"Wagon 4",
"Swastid",1,7,"Get From",31,"Wagon 4",
"Swastid",1,8,"Put On",34,"Wagon 4",
"Swastid",1,9,"Get From",34,"Wagon 4",
"Swastid",1,10,"Put On",35,"Wagon 4",
"Swastid",1,11,"Wait For Sec",30,"Wagon 4",
"Swastid",1,12,"Get From",35,"Wagon 4",
"Swastid",1,13,"Put On",36,"Wagon 4",
"Swastid",1,14,"Get From",36,"Wagon 4",
"Swastid",1,15,"Put On",37,"Wagon 4",
"Swastid",1,16,"Get From",30,"Wagon 4",
"Swastid",1,17,"Put On",31,"Wagon 4",
"Swastid",1,18,"Put On",36,"Wagon 4",
"Swastid",1,1,"Get From",41,"Wagon 5",
"Swastid",1,2,"Put On",42,"Wagon 5",
"Swastid",1,3,"Wait For Sec",9,"Wagon 5",
"Swastid",1,4,"Get From",42,"Wagon 5",
"Swastid",1,5,"Put On",43,"Wagon 5",
"Swastid",1,6,"Wait For Sec",9,"Wagon 5",
"Swastid",1,7,"Get From",43,"Wagon 5",
"Swastid",1,8,"Put On",44,"Wagon 5",
"Swastid",1,9,"Wait For Sec",9,"Wagon 5",
"Swastid",1,10,"Get From",44,"Wagon 5",
"Swastid",1,11,"Put On",45,"Wagon 5",
"Swastid",1,12,"Wait For Sec",9,"Wagon 5",
"Swastid",1,13,"Get From",45,"Wagon 5",
"Swastid",1,14,"Put On",46,"Wagon 5",
"Swastid",1,15,"Wait For Sec",5,"Wagon 5",
"Swastid",1,16,"Get From",47,"Wagon 5",
"Swastid",1,17,"Put On",48,"Wagon 5",
"Swastid",1,18,"Get From",46,"Wagon 5",
"Swastid",1,19,"Wait For Sec",5,"Wagon 5",
"Swastid",1,20,"Put On",47,"Wagon 5",
"Swastid",1,21,"Get From",38,"Wagon 5",
"Swastid",1,22,"Put On",39,"Wagon 5",
"Swastid",1,23,"Get From",39,"Wagon 5",
"Swastid",1,24,"Put On",40,"Wagon 5",
"Swastid",1,25,"Wait For Sec",9,"Wagon 5",
"Swastid",1,26,"Get From",40,"Wagon 5",
"Swastid",1,27,"Put On",41,"Wagon 5",
"Prius",1,1,"Get From",14,"Wagon 1","Program 1"
"Prius",1,2,"Put On",18,"Wagon 1","Program 1"
"Osho",1,14,"Wait Interlock Timer",150,"Wagon 5",
"Prius",1,3,"Get From",1,"Wagon 1","Program 1"
"Prius",1,4,"Put On",2,"Wagon 1","Program 1"
"Prius",1,5,"Get From",10,"Wagon 1","Program 1"
"Prius",1,6,"Put On",11,"Wagon 1","Program 1"
"Prius",1,7,"Wait For Sec",10,"Wagon 1","Program 1"
"Prius",1,8,"Get From",11,"Wagon 1","Program 1"
