project_id,wagon_no,step_no,command,station_no,wait_sec,critical_status,total_time_sec,valid
Prius,"Wagon 1",24,"Put On",8,,High,9200,TRUE
Prius,"Wagon 1",25,"Get From",13,,,14950,TRUE
Prius,"Wagon 1",26,"Put On",9,,High,10350,TRUE
Prius,"Wagon 1",27,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 1",28,"Get From",9,,High,10350,TRUE
Prius,"Wagon 1",29,"Put On",10,,Low,11500,TRUE
Prius,"Wagon 2",1,"Get From",26,,,29900,TRUE
Prius,"Wagon 2",2,"Put On",28,,,32200,TRUE
Prius,"Wagon 2",3,"Get From",25,,,28750,TRUE
Prius,"Wagon 2",4,"Put On",26,,,29900,TRUE
Prius,"Wagon 2",5,"Get From",28,,,32200,TRUE
Prius,"Wagon 2",6,"Put On",29,,,33350,TRUE
Prius,"Wagon 2",7,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 2",8,"Get From",29,,,33350,TRUE
Prius,"Wagon 2",9,"Put On",30,,,34500,TRUE
Prius,"Wagon 2",9,"Put On",30,,,34500,TRUE
Prius,"Wagon 2",10,"Get From",18,,,20700,TRUE
Prius,"Wagon 2",11,"Put On",19,,Low,21850,TRUE
Prius,"Wagon 2",12,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 2",13,"Get From",19,,Low,21850,TRUE
Prius,"Wagon 2",14,"Put On",20,,Low,23000,TRUE
Prius,"Wagon 2",15,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 2",16,"Get From",20,,Low,23000,TRUE
Prius,"Wagon 2",17,"Put On",21,,Low,24150,TRUE
Prius,"Wagon 2",18,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 2",19,"Get From",21,,Low,24150,TRUE
Prius,"Wagon 2",20,"Put On",22,,,25300,TRUE
Prius,"Wagon 2",21,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 2",22,"Get From",22,,,25300,TRUE
Prius,"Wagon 2",23,"Put On",25,,,28750,TRUE
Prius,"Wagon 3",1,"Get From",30,,,34500,TRUE
Prius,"Wagon 3",1,"Get From",30,,,34500,TRUE
Osho,"Wagon 5",15,"Get From",40,50,,30400,TRUE
Prius,"Wagon 3",2,"Put On",32,,,32200,TRUE
Prius,"Wagon 3",3,"Get From",36,,,27600,TRUE
Prius,"Wagon 3",4,"Put On",37,,,26450,TRUE
Prius,"Wagon 3",5,"Get From",32,,,32200,TRUE
Prius,"Wagon 3",6,"Put On",33,,,31050,TRUE
Prius,"Wagon 3",7,"Get From",37,,,26450,TRUE
Prius,"Wagon 3",8,"Put On",38,,,25300,TRUE
Prius,"Wagon 3",9,"Get From",33,,,31050,TRUE
Prius,"Wagon 3",10,"Put On",34,,,29900,TRUE
Prius,"Wagon 3",11,"Get From",35,,,28750,TRUE
Prius,"Wagon 3",12,"Put On",36,,,27600,TRUE
Prius,"Wagon 3",13,"Get From",34,,,29900,TRUE
Prius,"Wagon 3",14,"Put On",35,,,28750,TRUE
Prius,"Wagon 3",15,"Get From",38,,,25300,TRUE
Prius,"Wagon 3",16,"Put On",39,,,24150,TRUE
Prius,"Wagon 3",17,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 3",18,"Get From",39,,,24150,TRUE
Prius,"Wagon 3",19,"Put On",40,,,23000,TRUE
Prius,"Wagon 3",20,"Wait For Sec",10,,Low,11500,TRUE
Prius,"Wagon 3",21,"Get From",40,,,23000,TRUE
Prius,"Wagon 3",22,"Put On",41,,,21850,TRUE
