seq_id,project_id,wagon_no,step_no,command,station_no,wait_sec,critical_status,total_time_sec,valid
4,4,Wagon 1,2,Put On,8,50,High,5600,TRUE
4,4,Wagon 1,3,Get From,4,50,High,2400,TRUE
4,4,Wagon 1,4,Put On,3,50,High,1600,TRUE
4,4,Wagon 1,5,Get From,1,0,High,0,TRUE
4,4,Wagon 1,6,Get From,9,50,High,6400,TRUE
4,4,Wagon 1,7,Wait For Int,5,50,High,3200,TRUE
4,4,Wagon 1,8,Put On,17,50,,12800,TRUE
4,4,Wagon 1,9,Set Int,4,50,High,2400,TRUE
4,4,Wagon 1,10,Get From,3,50,High,1600,TRUE
4,4,Wagon 1,11,Put On,1,0,High,0,TRUE
4,4,Wagon 1,12,Get From,5,50,High,3200,TRUE
4,4,Wagon 1,13,Put On,4,50,High,2400,TRUE
4,4,Wagon 1,14,Get From,2,50,High,800,TRUE
4,4,Wagon 1,15,Put On,5,50,High,3200,TRUE
4,4,Wagon 1,16,Set Int,6,50,High,4000,TRUE
4,4,Wagon 1,17,Get From,6,50,High,4000,TRUE
4,4,Wagon 1,18,Set Int,9,50,High,6400,TRUE
4,4,Wagon 1,19,Put On,2,50,High,800,TRUE
4,4,Wagon 1,20,Wait For Int,8,50,High,5600,TRUE
4,4,Wagon 1,21,Put On,9,50,High,6400,TRUE
4,4,Wagon 4,5,Set Int,1,0,High,0,TRUE
4,4,Wagon 4,6,Get From,28,50,,21600,TRUE
4,4,Wagon 4,7,Put On,29,50,,22400,TRUE
4,4,Wagon 4,8,Set Int,2,50,High,800,TRUE
4,4,Wagon 4,9,Get From,24,50,,18400,TRUE
4,4,Wagon 4,10,Put On,25,50,,19200,TRUE
4,4,Wagon 4,11,Set Int,16,50,,12000,TRUE
4,4,Wagon 4,12,Put On,26,50,,20000,TRUE
4,4,Wagon 4,13,Wait For Int,3,50,High,1600,TRUE
4,4,Wagon 4,14,Get From,32,50,,24800,TRUE
4,4,Wagon 4,15,Put On,31,50,,24000,TRUE
4,4,Wagon 4,16,Get From,31,50,,24000,TRUE
4,4,Wagon 4,17,Put On,30,50,,23200,TRUE
4,4,Wagon 4,18,Set Int,7,50,Low,4800,TRUE
4,4,Wagon 4,19,Put On,33,50,,25600,TRUE
4,4,Wagon 4,20,Set Int,13,50,,9600,TRUE
4,4,Wagon 4,21,Wait For Int,12,50,,8800,TRUE
4,4,Wagon 4,22,Get From,20,50,Low,15200,TRUE
4,4,Wagon 4,23,Put On,21,50,Low,16000,TRUE
4,4,Wagon 4,24,Get From,25,50,,19200,TRUE
4,4,Wagon 4,25,Put On,26,50,,20000,TRUE
4,4,Wagon 5,1,Wait For Int,1,0,High,0,TRUE
4,4,Wagon 5,2,Get From,33,50,,25600,TRUE
4,4,Wagon 5,3,Put On,32,50,,24800,TRUE
4,4,Wagon 5,4,Wait For Int,2,50,High,800,TRUE
4,4,Wagon 5,5,Get From,29,50,,22400,TRUE
4,4,Wagon 5,6,Set Int,3,50,High,1600,TRUE
4,4,Wagon 5,7,Put On,40,50,,30400,TRUE
4,4,Wagon 5,8,Wait For Sec,50,0,,0,TRUE
4,4,Wagon 5,12,Put On,33,50,,25600,TRUE
4,4,Wagon 5,13,Put On,40,50,,30400,TRUE
4,4,Wagon 5,17,Put On,35,50,,27200,TRUE
